type,zone,from_station_name,to_station_name,departure,arrival,duration,number_of_halts,distance,speed,departure_days,sunday,monday,tuesday,wednesday,thursday,friday,saturday,classes,first_ac,second_ac,third_ac,first_class,sleeper,chair_car,second_sitting,name
Toy,NFR,Darjeeling,To Darjeeling,10:10,10:10,0,2.0,0.0,,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Joyride
Pass,?,Velachery,Chennai Beach,12:40,13:20,0.666666667,15.0,0.0,0.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,VLCY MSB LOCAL
Pass,?,Velachery,Chennai Beach,13:00,13:40,0.666666667,15.0,0.0,0.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Velachery Chennai Local
Pass,?,Velachery,Chennai Beach,19:00,19:40,0.666666667,15.0,0.0,0.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Velachery Chennai Beach Passenger
Toy,NFR,Darjeeling,To Darjeeling,17:49,18:00,0.183333333,2.0,2.0,10.9,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Joyride
Toy,NFR,Darjeeling,To Darjeeling,12:36,12:50,0.233333333,2.0,2.0,8.6,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Himalayan Toy Train
Toy,NFR,Darjeeling,To Darjeeling,15:16,15:30,0.233333333,2.0,2.0,8.6,SMTWTFS,T,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Darjeeling Himalayan Toy Train
MEMU,SR,Tiruvallur,Kadambattur,05:50,06:00,0.166666667,1.0,6.0,36.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tiruvallur Kadambattur EMU
Pass,CR,Badnera Junction,Amravati,01:30,01:45,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,02:15,02:30,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Amravati,Badnera Junction,04:10,04:25,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,06:25,06:40,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,07:05,07:20,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,11:00,11:15,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,11:45,12:00,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,18:00,18:15,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Mix Passenger
Pass,CR,Amravati,Badnera Junction,18:45,19:00,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,19:50,20:05,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,20:25,20:40,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
Pass,CR,Badnera Junction,Amravati,22:55,23:10,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,CR,Amravati,Badnera Junction,23:40,23:55,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Amravati Badnera Passenger
MEMU,CR,Badnera Junction,Amravati,01:30,01:45,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,ER,Jasidih Junction,Baidyanathdham Deoghar,22:50,23:05,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,23:30,23:45,0.25,0.0,6.0,24.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
MEMU,ER,Jasidih Junction,Baidyanathdham Deoghar,12:26,12:45,0.316666667,1.0,6.0,18.9,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Jasidih Baidyanathdham Passenger
MEMU,ER,Jasidih Junction,Baidyanathdham Deoghar,05:50,06:10,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Jasidih Baidyanathdham Passenger
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,08:25,08:45,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,?,Baidyanathdham Deoghar,Jasidih Junction,09:30,09:50,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,10:00,10:20,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,10:50,11:10,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Baidyanathdham Deoghar,Jasidih Junction,15:30,15:50,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,16:40,17:00,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,17:10,17:30,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,17:45,18:05,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,18:25,18:45,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Pass,?,Jasidih Junction,Baidyanathdham Deoghar,19:50,20:10,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JASIDIH BAIDYANATH PASS
Pass,ER,Baidyanathdham Deoghar,Jasidih Junction,20:30,20:50,0.333333333,1.0,6.0,18.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,BAIDYANATH JASIDIH PASS
Hyd,SCR,Secunderabad Junction,Hyderabad Deccan Nampally,05:10,05:35,0.416666667,5.0,8.0,19.2,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Secunderabad Hyderabad MMTS
Pass,CR,Badnera Junction,Amravati,03:20,03:35,0.25,0.0,9.0,36.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Badnera Amravati Passenger
Pass,NCR,Hathras Kila,Hathras Junction,16:05,16:30,0.416666667,0.0,9.0,21.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Kila Hathras Passenger
Pass,NCR,Hathras Junction,Hathras Kila,08:50,09:15,0.416666667,0.0,9.0,21.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Hathras Kila Passenger
Pass,ER,Jamalpur Junction,Munger,17:50,18:18,0.466666667,1.0,9.0,19.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,JAMALPUR MONGHYAR PASS
MEMU,SR,Avadi,Pattabiram East,02:55,03:15,0.333333333,2.0,10.0,30.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Avadi Pattabiram East EMU
MEMU,?,Pattabiram East,Avadi,23:35,23:55,0.333333333,2.0,10.0,30.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Pattabiram East Avadi EMU
Pass,?,Tinpahar Junction,Rajmahal,06:03,06:28,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,?,Rajmahal,Tinpahar Junction,02:00,02:25,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
Pass,?,Rajmahal,Tinpahar Junction,06:48,07:13,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
Pass,?,Tinpahar Junction,Rajmahal,16:20,16:45,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,?,Tinpahar Junction,Rajmahal,21:30,21:55,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,ER,Rajmahal,Tinpahar Junction,20:00,20:25,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
Pass,?,Tinpahar Junction,Rajmahal,23:30,23:55,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,ER,Rajmahal,Tinpahar Junction,22:20,22:45,0.416666667,0.0,11.0,26.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal-Teenpahar Pass.
Pass,?,Tinpahar Junction,Rajmahal,09:50,10:18,0.466666667,1.0,11.0,23.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,?,Tinpahar Junction,Rajmahal,13:47,14:15,0.466666667,1.0,11.0,23.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tinpahar Rajmahal Pass
Pass,?,Rajmahal,Tinpahar Junction,17:10,17:38,0.466666667,1.0,11.0,23.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Rajmahal Tinpahar Passenger
Pass,NCR,Ait,Konch,05:40,06:15,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Ait Konch Passenger
Pass,NCR,Konch,Ait,06:35,07:10,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Konch Ait Passenger
Pass,NCR,Ait,Konch,10:30,11:05,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Ait Konch Passenger
Pass,NCR,Konch,Ait,14:15,14:50,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Konch Ait Passenger
Pass,NCR,Ait,Konch,17:05,17:40,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Ait Konch Passenger
Pass,NCR,Konch,Ait,18:00,18:35,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Konch Ait Passenger
Pass,?,Ait,Konch,19:05,19:40,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Ait Konch Passenger
Pass,NCR,Konch,Ait,20:00,20:35,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Konch Ait Passenger
Pass,NCR,Ait,Konch,21:55,22:30,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Ait Konch Passenger
Pass,NCR,Konch,Ait,04:05,04:40,0.583333333,0.0,13.0,22.3,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Konch Ait Passenger
MEMU,SR,Tiruttani,Arakkonam Junction,04:55,05:15,0.333333333,0.0,14.0,42.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tiruttani Arakkonam EMU
MEMU,?,Arakkonam Junction,Tiruttani,05:10,05:30,0.333333333,0.0,14.0,42.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Arakkonam Tiruttani EMU
MEMU,?,Tiruttani,Arakkonam Junction,21:00,21:20,0.333333333,0.0,14.0,42.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Tiruttani Arakkonam EMU
MEMU,?,Arakkonam Junction,Tiruttani,04:20,04:50,0.5,0.0,14.0,28.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Arakkonam Tiruttani EMU
Hyd,SCR,Falaknuma,Secunderabad Junction,22:45,23:15,0.5,9.0,14.0,28.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Secunderabad Lingampalli MMTS
Hyd,SCR,Secunderabad Junction,Falaknuma,06:00,06:30,0.5,9.0,14.0,28.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Secunderabad Falaknuma MMTS
Hyd,SCR,Falaknuma,Secunderabad Junction,22:30,23:00,0.5,9.0,14.0,28.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Falaknuma Secunderabad MMTS
Hyd,SCR,Secunderabad Junction,Falaknuma,04:50,05:20,0.5,9.0,14.0,28.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Secunderabad Falaknuma MMTS
Pass,WR,Anand Junction,Vadtal Swaminarayan,15:20,16:00,0.666666667,1.0,14.0,21.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Anand Vadtal Passenger
Pass,WR,Vadtal Swaminarayan,Anand Junction,11:20,12:05,0.75,1.0,14.0,18.7,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Vadtal Swaminarayan Anand Passenger
Pass,SR,Nagercoil Junction,Kanniyakumari,16:00,16:20,0.333333333,0.0,15.0,45.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Nagercoil Cape Passenger
Pass,SR,Nagercoil Junction,Kanniyakumari,16:45,17:05,0.333333333,0.0,15.0,45.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Nagercoil Cape Passenger
Pass,SWR,Kanniyakumari,Nagercoil Junction,20:40,21:00,0.333333333,0.0,15.0,45.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Kanyakumari Nagercoil Passenger
Pass,SR,Kanniyakumari,Nagercoil Junction,07:20,07:45,0.416666667,1.0,15.0,36.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Kanyakumari Nagercoil Passenger
Pass,SWR,Nagercoil Junction,Kanniyakumari,09:10,09:35,0.416666667,1.0,15.0,36.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Nagercoil Kanyakumari Passenger
MEMU,?,Kolkata Sealdah,Sonarpur Junction,17:15,17:42,0.45,7.0,16.0,35.6,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Sealdah-Sonarpur Local
MEMU,?,Sonarpur Junction,Kolkata Sealdah,18:04,18:35,0.516666667,7.0,16.0,31.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Sonarpur Sealdah Local
Pass,SWR,Bangarapet Junction,Marikuppam,13:00,13:35,0.583333333,4.0,16.0,27.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Bangarpet Marikuppam Passenger
Pass,SWR,Marikuppam,Bangarapet Junction,09:50,10:25,0.583333333,4.0,16.0,27.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Marikuppam Bangarapet Passenger
Pass,SWR,Bangarapet Junction,Marikuppam,05:30,06:05,0.583333333,4.0,16.0,27.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Bangarpet Marikuppam Passenger
Pass,SWR,Marikuppam,Bangarapet Junction,20:50,21:25,0.583333333,4.0,16.0,27.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Marikuppam Bangarpet passenger
Pass,SECR,Rajim,Abhanpur Junction,06:50,07:40,0.833333333,1.0,16.0,19.2,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,RAJIM ABHANPUR PASS
Pass,SECR,Abhanpur Junction,Rajim,20:15,21:05,0.833333333,1.0,16.0,19.2,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,ABHANPUR RAJIM PASS
Pass,SECR,Rajim,Abhanpur Junction,18:35,19:25,0.833333333,1.0,16.0,19.2,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,RAJIM ABHANPUR PASS
MEMU,SR,Chennai Beach,St Thomas Mount,08:32,08:58,0.433333333,3.0,17.0,39.2,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach St. Thomas Mount Fast EMU
Pass,NR,Nangal Dam,Una Himachal,19:45,20:20,0.583333333,2.0,17.0,29.1,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Nangal Dam Una Himachal Passenger
Pass,NR,Varanasi Junction,Mughal Sarai Junction,18:25,19:05,0.666666667,2.0,17.0,25.5,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Varanasi Mughal Sarai Passenger
Pass,WR,Dabhoi Junction,Chandod,16:15,17:00,0.75,1.0,17.0,22.7,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Dabhoi Chandod Mix Passenger
Pass,NR,Mughal Sarai Junction,Varanasi Junction,08:45,09:30,0.75,2.0,17.0,22.7,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Mughal Sarai Varanasi Passenger
Pass,WR,Chandod,Dabhoi Junction,09:10,10:00,0.833333333,1.0,17.0,20.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chandod Dabhoi Mix Passenger
Pass,NR,Varanasi Junction,Mughal Sarai Junction,07:25,08:15,0.833333333,2.0,17.0,20.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Varanasi Mughal Sarai Passenger
Pass,?,Abhanpur Junction,Rajim,08:30,09:20,0.833333333,1.0,17.0,20.4,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,ABHANPUR RAJIM PASS
MEMU,SR,Chennai Beach,Velachery,06:05,06:45,0.666666667,13.0,18.0,27.0,S------,T,F,F,F,F,F,F,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,06:20,07:00,0.666666667,15.0,18.0,27.0,S------,T,F,F,F,F,F,F,,F,F,F,F,F,F,F,Chennai Beach Velachery Sunday EMU
MEMU,SR,Chennai Beach,Velachery,06:40,07:20,0.666666667,15.0,18.0,27.0,S------,T,F,F,F,F,F,F,,F,F,F,F,F,F,F,Chennai Beach Velachery Sunday EMU
MEMU,SR,Chennai Beach,Velachery,07:00,07:40,0.666666667,15.0,18.0,27.0,S------,T,F,F,F,F,F,F,,F,F,F,F,F,F,F,Chennai Beach Velachery Sunday EMU
MEMU,SR,Chennai Beach,Velachery,08:05,08:45,0.666666667,14.0,18.0,27.0,SMTWTFS,T,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,04:15,04:55,0.666666667,14.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,04:45,05:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,05:15,05:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,05:45,06:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,06:15,06:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,06:25,07:05,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,06:35,07:15,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,06:55,07:35,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,07:15,07:55,0.666666667,14.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,07:35,08:15,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,07:45,08:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,07:55,08:35,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,08:15,08:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,08:25,09:05,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,08:35,09:15,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,08:45,09:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,08:55,09:35,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:00,09:40,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:05,09:45,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:15,09:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:25,10:05,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:35,10:15,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:45,10:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,09:55,10:35,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
MEMU,SR,Chennai Beach,Velachery,10:05,10:45,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,SR,Chennai Beach,Velachery,11:15,11:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,FC,F,F,F,T,F,F,F,Chennai Beach Velachery EMU
Pass,SR,Chennai Beach,Velachery,11:35,12:15,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,?,Chennai Beach,Velachery,11:55,12:35,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,SR,Chennai Beach,Velachery,12:15,12:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,SR,Chennai Beach,Velachery,12:35,13:15,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,SR,Chennai Beach,Velachery,12:55,13:35,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,SR,Chennai Beach,Velachery,13:15,13:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,?,Chennai Beach,Velachery,13:45,14:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,?,Chennai Beach,Velachery,14:15,14:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,?,Chennai Beach,Velachery,14:45,15:25,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
Pass,?,Chennai Beach,Velachery,15:15,15:55,0.666666667,15.0,18.0,27.0,-MTWTFS,F,T,T,T,T,T,T,,F,F,F,F,F,F,F,Chennai Beach Velachery EMU
