category,title,kJ,rate
snacks,Toblerone Fruit And Nut 400G,2060,1
snacks,M And M's Chocolate Bag 185G,,0.81
snacks,M And M's Peanut 185G,,0.81
snacks,M&Ms Peanut Large Pouch 315G,,0.88
snacks,Maltesers Bag 135G,,1.4
snacks,Maltesers Large Pouch 230G,,1.21
snacks,Mars Galaxy Counters Pouch 140G,,1.08
snacks,Mars Milkyway Magic Stars Pouch 130G,,1.16
snacks,Mars Planets Pouch 150G,,1
snacks,Minstrels Bag 170G,,0.88
snacks,Minstrels Large Pouch 290G,,0.96
snacks,Revels Bag 140G,,1.08
snacks,Revels Large Pouch 240G,,1.16
snacks,Tesco Milk Chocolate American Peanuts 200G,2330,0.34
snacks,Tesco Milk Chocolate Big Buttons 170G,2130,0.6
snacks,Tesco Milk Chocolate Coated Raisins 200G,1760,0.34
snacks,Kinder Bueno Milk And Hazelnut 4 Twin Bars 172G,,0.98
snacks,Mars Snacktime 10 Pack 365G,,0.55
snacks,Milky Way Snacktime 12 Pack 262.8G,,0.76
snacks,Milkyway 6 Pack 131.4G,,0.91
snacks,Tesco 20 Chocolate Fun Bars 414G,1995,0.47
snacks,Tesco Cool Coconut 10 Pack 25G,1985,0.4
snacks,Tesco Cool Coconut Bars 275G,1985,0.36
snacks,Tesco Crazy Caramel 4 Pack 55G,1935,0.53
snacks,Tesco Crazy Caramel 8 Pack 320G,1935,0.36
snacks,Tesco Crazy Caramel Bars 280G,1935,0.41
snacks,Tesco Crunchy Caramel Biscuit 7Pk 42G,2050,0.39
snacks,Tesco Crunchy Caramel Biscuit Bar 319G,2030,0.33
snacks,Tesco Crunchy Caramel Biscuit Bars 4 Pack 232G,2030,0.34
snacks,Tesco Nutty Nougat Caramel 280G,2105,0.48
snacks,Tesco Nutty Nougat Caramel 8 Pack,2050,0.36
snacks,Tesco Nutty Nougat Caramel Bars 4 Pack 55G,2065,0.53
snacks,Tesco Wild And Whippy 10 Pack 260G,1930,0.38
snacks,Tesco Wild And Whippy Bars 280G,1930,0.37
snacks,Bloomsberry Emergency Chocolate 100G,2330,1.99
snacks,Cadbury Picnic 48.4G,1930,1.18
snacks,Cadbury Twirl 2 Fingers,2205,1.18
snacks,Divine 85% Dark Chocolate 100G,2430,1.52
snacks,Galaxy Ripple Single Bar 33G,,1.73
snacks,Green And Black's Creamy Milk Chocolate 100G,2375,1.82
snacks,Green And Black's Expresso Chocolate Bar 100G,2280,2.09
snacks,Green And Black's Hazlenut And Currant Dark Chocolate 100G,,2.09
snacks,Green And Black's Hazlenut And Raisins Milk Chocolate 100G,2320,1.82
snacks,Green And Black's Maya Gold Choc/ Orng/Spices 100G,2194,1.82
snacks,Green And Black's Organic Dark Chocolate And Mint 100G,1996,2.09
snacks,Green And Black's Organic Milk Chocolate 100G,,1.82
snacks,Green And Black's Organic Milk Chocolate And Almonds 100G,,2.09
snacks,Green And Black's Organic Milk Chocolate And Caramel 100G,2136,2.09
snacks,Green And Black's Organic White Chocolate 100G,,1.82
snacks,Green And Blacks Dark 85% Cocoa Bar 100G,,1.82
snacks,Green And Blacks Dark Cherry Bar 100G,,1.82
snacks,Green And Blacks Dark With Ginger Bar 100G,,1.82
snacks,Green And Blacks Milk Butterscotch Bar 100G,2211,1.82
snacks,Mars Bar Single 58G Fa Flash,,0.85
snacks,Mars Duo Bars 85G Fa Flash,,0.78
snacks,Mars Single 58G,,0.85
snacks,Milka Daim Chocolate Bar 100G,2220,1.05
snacks,Milka Happy Cows Alpine Milk And White Chocolate 100G,2215,1.05
snacks,Milky Way Twin Pack 43.8G,,1.06
snacks,Ryelands Hazelnut Milk Chocolate 200G,2280,0.46
snacks,Ryelands Milk Chocolate 200G,2180,0.45
snacks,Ryelands Milk Chocolate Fruit And Nut 200G,2050,0.47
snacks,Ryelands Plain Chocolate 200G,2205,0.45
snacks,Ryelands White Chocolate 200G,2265,0.48
snacks,Snickers Duo 95.4G,,0.69
snacks,Snickers Single 58G,,0.85
snacks,Tesco 33% Cocoa Ecudador Milk Chocolate 100G,2390,0.81
snacks,Tesco 85% Cocoa Ecuador/Ivory Coast Chocolate 100G,2270,0.91
snacks,Tesco Continental 74% Plain Chocolate 100G,2235,0.81
snacks,Tesco Finest Swiss 72% Plain Chocolate 100G,2350,1.11
snacks,Tesco Finest Swiss 85% Plain Chocolate 100G,2360,1.11
snacks,Tesco Finest Swiss Chocolate Orange And Almonds 100G,2191,1.11
snacks,Tesco Finest Swiss Chocolate With Caramel 100G,2289,1.11
snacks,Tesco Finest Swiss Milk Chocolate 100G,2323,1.11
snacks,Tesco Finest Swiss Plain Mint Chocolate 100G,2170,1.11
snacks,Tesco Finest Swiss Vanilla And White Chocolate 100G,2450,1.11
snacks,Tesco Finest* F/T Organic 70% Dominican Chocolate 100G,2365,1.32
snacks,Tesco Finest* Fair Trade Organic 39% Ecuador Milk Chocolate 100G,2360,1.32
snacks,Tesco Finest* Fair Trade Organic 70% Dr Plain Chocolate Ginger 100G,2165,1.32
snacks,Tesco Finest* Fair Trade Organic 85% Ecuador Plain Chocolate 100G,2515,1.32
snacks,Tesco Finest* Fair Trade Organic Ecuador 39% Milk Choc/Almond 100G,2270,1.32
snacks,Tesco Finest* Fair Trade Organic White Chocolate Domaine Repub 100G,2460,1.32
snacks,Tesco Milk Chocolate Caramel 150G,1945,0.75
snacks,Tesco Milk Chocolate Turkish Delight 150G,1865,0.7
snacks,Tesco Rfa Fruit And Nut Milk Chocolate Bar 200G,2140,0.63
snacks,Tesco Rfa Fruit And Nut Plain Chocolate 200G,2130,0.63
snacks,Tesco Rfa Milk Chocolate 200G,2175,0.63
snacks,Tesco Rfa Rich Plain Chocolate 200G,2245,0.63
snacks,Tesco Rfa White Chocolate Bar 200G,2325,0.63
snacks,Tesco Rfa Whole Nut Milk Chocolate 200G,2475,0.63
snacks,Tesco Rfa Wholenut Plain Chocolate 200G,2490,0.63
snacks,Toblerone 100G,2200,1.2
snacks,Toblerone Dark 100Gm,2100,1.13
snacks,Toblerone Fruit And Nut 100G,2085,0.99
snacks,Ausome Super Mario 3-D Jellies 135G,1445,0.76
snacks,Barratt Liquorice Catherine Wheels,,0.72
snacks,Barratt Sherbert Fountain 25G,375,1.28
snacks,Barratts Jumbo Soft Nougat 113G,,0.43
snacks,Kelloggs Strawberry Winders 17G,1642,1.89
snacks,Kinder Mini Treats 16 Pack 200G,,0.85
snacks,Milkyway Single 21.7G Price Marked (C),,0.92
snacks,Tesco Fizzy Mix 475G,1434,0.43
snacks,Tesco Gummy Mix Drum 475G,1449,0.42
snacks,Bassetts Fundays Mint Creams 200G,,0.74
snacks,Tesco Butter Mintoes 250G,1775,0.3
snacks,Tesco Mint Assortment 250G,1700,0.27
snacks,Tesco Value Clear Mints 200G,1625,0.26
snacks,Tesco Value Mint Imperials 175G,1690,0.25
snacks,Mentos Fruit Burst Gum Pocket Bottle 30G,705,3.37
snacks,Tesco Peppermint Gum 3 Pack 42G,,1.7
snacks,Tesco Spearmint Gum 3 Pack 42G,780,1.7
snacks,Wrigley Airwaves Blackmint 5Pack,640,2.48
snacks,Wrigley Extra Cool Breeze Bottle 60Pce,,2.86
snacks,Trebor Extra Strong Peppermint Gum 14.5G,,2.42
snacks,Trebor Extra Strong Spearmint Gum 14.5G,,2.28
snacks,Wrigleys Extra Chewy Mints 38G,,1.58
snacks,Mike And Ike Tropical Typhoon 180G,1523,0.71
snacks,Natural Confectionery Co Jelly Snakes 200G,,0.5
snacks,Natural Confectionery Co Jelly Squirms 180G,,0.82
snacks,Natural Confectionery Co Wild Things 180G,,0.82
snacks,Starburst Fruity Chews 192G Bag,,0.4
snacks,Tesco American Hard Gums 250G,1360,0.3
snacks,Tesco Build A Burger 80G,1440,0.5
snacks,Tesco Dolly Mixtures 100G,1655,0.4
snacks,Tesco Fizzy Cola Bottles 100G,1380,0.4
snacks,Tesco Fizzy Cola Lances 75G,1525,0.53
snacks,Tesco Fizzy Mix 100G Pe,1410,0.4
snacks,Tesco Fizzy Multicolour Sweet Belt 75G,1540,0.53
snacks,Tesco Flying Saucers 20G,1550,2
snacks,Tesco Fruit Jellies 250G,1455,0.3
snacks,Tesco Fruit Pastilles 250G,1395,0.29
snacks,Tesco Gummy Bears 85G,1455,0.47
snacks,Tesco Gummy Mix 100G,1400,0.4
snacks,Tesco Jelly Babies 250G,1415,0.27
snacks,Tesco Jelly Beans 250G,1535,0.33
snacks,Tesco Little Miss Chatterbox And Friends 150G,1425,0.83
snacks,Tesco Little Miss Sunshine Gummies 170G,1445,0.74
snacks,Tesco Marshmallows 50G,1440,0.8
snacks,Tesco Milk Chocolate Buttons 70G,2130,0.57
snacks,Tesco Mini Jelly Beans 100G,1550,0.4
snacks,Tesco Mixed Lollipops 200G,1685,0.5
snacks,Tesco Monkeys And Bananas 85G,1525,0.47
snacks,Tesco Mr Bump Soft Gummy Sweets 75G,1465,0.53
snacks,Tesco Mr Happy Soft Gummies 170G,1405,0.74
snacks,Tesco Mr Small And Little Miss Tiny Gummy Sweets 75G,1440,0.53
snacks,Tesco Mr Tickle Soft Gummies 150G,1410,0.83
snacks,Tesco Sparkling Fruit Drops 250G,1640,0.3
snacks,Tesco Strawberry Flavour Lances 75G Pe,1525,0.53
snacks,Tesco Strawberry Laces 75G,1525,0.53
snacks,Tesco Strawberry Pencils 75G,1615,0.53
snacks,Tesco Teeth And Lips 100G,1420,0.4
snacks,Tesco Value Fruity Flavour Jelly Mix 500G,1435,0.35
snacks,Tesco Value Midget Gems 200G,1515,0.18
snacks,Tesco White Chocolate Buttons 70G,2285,0.57
snacks,Tesco White Snowies 70G,2065,0.57
snacks,Tesco Wine Gums 250G,1255,0.29
snacks,Tesco Wine Gums 450G,1444,0.21
snacks,Rowntrees Fruit Pastilles Single,1487,0.97
snacks,Skittles Crazy Sours 55G,,0.82
snacks,Barratt Shrimps And Bananas 250G,1600,0.4
snacks,Bassetts Liquorice Allsorts 215G,,0.47
snacks,Henry Goode's Soft Eating Liquorice 300G,1500,0.61
snacks,Tesco Coconut Mushrooms 150G,1735,0.5
snacks,Tesco Cola Cubes 200G,1645,0.38
snacks,Tesco Dairy Toffee 227G,1930,0.33
snacks,Tesco Dark Chocolate Covered Pepper- Mint Cremes 170G,1725,0.5
snacks,Tesco Liquorice Allsorts 250G,1520,0.27
snacks,Tesco Liquorice Twists 250G,1395,0.3
snacks,Tesco Marshmallows 200G,1420,0.38
snacks,Tesco Milk Chocolate Covered Soft Caramels 150G,1950,0.83
snacks,Tesco Milk Chocolate Eclairs 227G,2000,0.33
snacks,Tesco Pear Drops 200G,1670,0.38
snacks,Tesco Rhubarb And Custard Sweets 200G,1651,0.38
snacks,Tesco Sweet Shop Chocolate Limes 200G,1725,0.38
snacks,Tesco Sweet Shop Strawberry Bon Bons 227G,1920,0.33
snacks,Tesco Value Fun Fruits 200G,1620,0.16
snacks,Tesco Value Milk Chocolate Eclairs 200G,1925,0.18
snacks,Tesco Value Toffee 200G,1925,0.15
snacks,Tesco Vanilla Fudge 250G,1870,0.5
snacks,Thorntons Soft Caramels 138G,,1.13
snacks,Thorntons Toffi-Chocs Bag 165G,,0.94
snacks,Thorntons Twistwrap Toffees 180G,,0.86
snacks,Werthers Original 135G,1790,0.85
snacks,Werthers Original Sugar Free Butter Candy 80G,1201,1.43
snacks,Tesco Easter Micro Sugar Coat Chocolate Eggs 150G,2035,0.33
snacks,Tesco Easter Milk Chocolate Chicks 85G,2230,0.59
snacks,Doritos Barbeque Rib 250G,2100,0.79
snacks,Doritos Chlli Heatwave 250G,2090,0.79
snacks,Doritos Cool Original 175G,2115,0.57
snacks,Doritos Cool Original 250G,2115,0.79
snacks,Doritos Hint Of Lime 250G,2120,0.79
snacks,Doritos Lightly Salted 250G,2081,0.79
snacks,Doritos Tangy Cheese 250G,2115,0.79
snacks,Tesco Cool Tortilla Chips 200G,1974,0.45
snacks,Tesco Cool Tortilla Chips 400G,1985,0.37
snacks,Tesco Lightly Salted Tortilla Chips 200G,2030,0.45
snacks,Tesco Nacho Cheese Tortilla Chips 200G,2005,0.45
snacks,Tesco Value Tortilla Chips 100G,2010,0.25
icecream,Almondy Daim 400G,1804,0.75
icecream,Almondy Toblerone 400G,1850,0.5
icecream,Tesco Banoffee Cheesecake 600G,1220,0.33
icecream,Tesco Blackcurrant Swirl Cheesecake 470G,1390,0.27
icecream,Tesco Chocolate And Vanilla Cheesecake 450G,1515,0.44
icecream,Tesco Lemon Swirl Cheesecake 450G,1340,0.28
icecream,Tesco Light Choices Mandarin Cheesecake 500G,880,0.25
icecream,Tesco Light Choices Strawberry Cheesecake 500G,830,0.25
icecream,Tesco New York Cheesecake 450G,1475,0.44
icecream,Tesco Rocky Road Cheesecake 450G,1315,0.44
icecream,Tesco Strawberry Swirl Cheesecake 490G,1430,0.26
icecream,Tesco Toffee Swirl Cheesecake 450G,1345,0.28
icecream,Jennie's Chocolate Cream Bar 400G,1355,0.34
icecream,Jennie's Raspberry Cream Bar 400G,1015,0.34
icecream,Tesco Banoffee Pie 500G,1100,0.4
icecream,Tesco Black Forest Gateau 1Kg,880,0.3
icecream,Tesco Black Forest Gateau 600G,968,0.33
icecream,Tesco Chocolate Fudge Cake 450G,1580,0.44
icecream,Tesco Chocolate Orange Fudge Cake 450G,1550,0.44
icecream,Tesco Double Chocolate Gateau 350G,1095,0.36
icecream,Tesco Double Chocolate Gateau 600G,1050,0.33
icecream,Tesco Profiterole Gateau 800G,1215,0.5
icecream,Tesco Profiteroles 235G,1385,0.43
icecream,Tesco Rocky Road Dessert 550G,1085,0.55
icecream,Tesco Strawberry Gateau 375G,805,0.33
icecream,Tesco Tiramisu Dessert 550G,815,0.55
icecream,Tesco Value 6 Vanilla Slices 240G,1470,0.42
icecream,Tesco Finest Banoffee Tart 522G,1390,0.58
icecream,Tesco Finest Belgian Chocolate Cheesecake 510G,1580,0.59
icecream,Tesco Finest Belgian Chocolate Tart 378G,2100,0.79
icecream,Tesco Finest Lemon Roulade 420G,1525,0.95
icecream,Tesco Finest Raspberry And Strawberry Torte 500G,900,0.6
icecream,Tesco Finest Sicilian Lemon Cheesecake 539G,1340,0.56
icecream,Tesco Finest Sticky Toffee Pudding 430G,1515,0.81
icecream,Tesco Finest Tarte Aux Framboises 470G,1020,0.75
icecream,Tesco Finest Toffee And Pecan Roulade 420G,1695,0.95
icecream,Tesco Raspberry Pavlova 320G,1175,0.63
icecream,Tesco Toffee Pavlova 294G,1505,0.68
icecream,Jennie's Apple And Custard Strudel 600G,1110,0.17
icecream,Tesco 2 Chocolate Sponge Puddings 260G,1230,0.39
icecream,Tesco 2 Sticky Toffee Sponge Puddings 260G,1425,0.35
icecream,Tesco 2 Syrup Sponge Puddings 260G,1210,0.39
icecream,Tesco Apple And Blackberry Pie 700G,1270,0.26
icecream,Tesco Apple Strudel 600G,1020,0.17
icecream,Tesco Bramley Apple Pie 700G,1400,0.26
icecream,Tesco Lemon Meringue Pie 475G,1200,0.42
icecream,Tesco Light Choices 2 Chocolate Sponge Puddings 186G,925,0.54
icecream,Tesco Light Choices 2 Syrup Sponge Puddings 152G,1080,0.66
icecream,Tesco Melt In The Middle Brownie Pudding 360G,1450,0.5
icecream,Tesco Rhubarb Crumble 500G,865,0.25
icecream,Tesco Value Apple Pie 400G,1120,0.23
icecream,Tesco Woodland Fruit Strudel 600G,1045,0.22
icecream,Tesco Light Choices 2 Lemon Meringue Desserts 180G,655,0.56
icecream,Tesco Light Choices 2 Profiterole Desserts 170G,640,0.59
icecream,Tesco Light Choices 2 Tiramisu Desserts 180G,740,0.56
desserts,Lyles Black Treacle 454G,,0.12
desserts,Lyles Golden Syrup 454G,,0.22
desserts,Lyles Golden Syrup 907G,,0.15
desserts,Lyles Squeezy Butterscotch Syrup 325G,1297.8,0.39
desserts,Lyles Squeezy Chocolate Syrup 325G,1318.8,0.39
desserts,Lyles Squeezy Golden Syrup Syrup 325G,1348.2,0.39
desserts,Lyles Squeezy Mint Chocolate Syrup 325G,1339.8,0.39
desserts,Lyles Squeezy Strawberry Syrup 325G,1331.4,0.39
desserts,Tesco Chocolate Sauce 320G,1360,0.4
desserts,Tesco Finest Chocolate Sauce 300G,1545,0.53
desserts,Tesco Finest Maple Syrup No 1 Light 330G,1075,1.67
desserts,Tesco Finest Raspberry Sauce 300G,855,0.55
desserts,Tesco Finest Toffee Dessert Sauce 300G,1490,0.52
desserts,Tesco Maple Syrup No 1 Medium275g,1075,1.61
desserts,Tesco Strawberry Dessert Sauce 300G,865,0.43
desserts,Tesco Toffee Dessert Sauce 320G,1490,0.4
desserts,Tesco Value Golden Syrup 680G,1400,0.11
desserts,Tesco 16 Mini Strawberry Meringues 86.4G,1622,1.72
desserts,Tesco 16 Plain Mini Meringues 78.4G,1639,1.89
desserts,Tesco Finest Creme Patissiere 300G,920,0.44
desserts,Tesco Mini Sponge Flans 125G,1625,0.77
desserts,Tesco Sponge Fingers 200G,1695,0.34
desserts,Green And Black Organic Cooking Chocolate 150G,2348,1.46
desserts,Menier Chocolat Patissier 100G,2319,0.99
desserts,Menier Milk Chocolate Patissier 100G,2220,1
desserts,Menier White Chocolate Patissier 100G,2316,1
desserts,Silver Spoon Cakecraft Dark Chocolate Chip 100G,2132,0.72
desserts,Silver Spoon Cakecraft Milk Chocolate Chip 100G,2211,0.72
desserts,Silver Spoon Cakecraft White Chocolate Chip 100G,2248,0.72
desserts,Silver Spoon Dark Chocolate Flavour Cake Covering 300G,2232,0.29
desserts,Silver Spoon Milk Chocolate Flavour Cake Covering 300G,2277,0.29
desserts,Silver Spoon White Chocolate Flavour Cake Covering 300G,2362,0.29
desserts,Tesco Luxury/ Britannia Milk Chocolate 150G,2330,0.56
desserts,Tesco Luxury/ Britannia Plain Chocolate 150G,2105,0.55
desserts,Tesco Luxury/ Britannia White Chocolate 150G,2350,0.55
desserts,Tesco Value/ Britannia Plain Chocolate 100G,2090,0.49
desserts,Greens Original Cheesecake Mix 259G,1341,0.25
desserts,Tesco Dumpling Mix 137G,1160,0.4
desserts,Seeds Of Change Organic Korma Sauce 350G,686,0.6
desserts,Seeds Of Change Organic Tikka Masala Sauce 350G,477,0.6
desserts,Crazy Jack Organic Dessicated Coconut 200G,2625,1
desserts,Tesco Cashew Nuts 200G,2479,0.76
desserts,Tesco Whole Almonds 200G,2610,1.06
desserts,Tesco Whole Hazelnuts 200G,2730,1
desserts,Whitworths Desiccated Coconut 150G,2498,1.06
desserts,Whitworths Extra Juicy Sultanas 350G,1200,0.51
desserts,Hartley Apple And Blackberry Fruit Filling 395G,366,0.23
desserts,Hartley Apple Fruit Filling 395G,363,0.23
desserts,Hartley Black Cherry Fruit Filling 410G,422,0.27
desserts,Crazy Jack Organic Blueberries 100G,1484,3.99
desserts,Crazy Jack Organic Cranberries 100G,,2.59
desserts,Frootz Orange Buttons 18G,1540,2.39
desserts,Frootz Raspberry Buttons 18G,1540,2.39
desserts,Frootz Strawberry Buttons 18G,1540,2.39
desserts,Ocean Spray Dried Craisins Cranberry 170G,1356,1.06
desserts,T.Yoghurt Coated Blackcurrant Fruit Bites 25G,1935,1.4
desserts,Tesco Strawberry Fruit Bites 20G,1615,1.7
desserts,Tesco Value Prunes 250G,635,0.48
desserts,Tesco Yoghurt Coated Strawberry Fruit Bites 25G,2035,1.4
desserts,Whitworths Apricots 35G,885,1.12
desserts,Whitworths Dates 35G,1428,1.12
desserts,Whitworths Fruit Mix 35G,1370,1.12
desserts,Whitworths Juicy Large Apricots 250G,701,0.76
desserts,Whitworths Juicy Large Prunes 250G,660,0.7
desserts,Whitworths Juicy Raisins 35G,1225,1.12
desserts,Whitworths Pineapple 35G,1485,1.12
desserts,Whitworths Prunes 35G,725,1.12
desserts,Whitworths Soft Dates 250G,1375,0.42
desserts,Amisa Organic Spelt Melba Toast 200G,1668,1
desserts,Biona Organic Amaranth/Quinoa Rye Bread 500G,746,0.27
desserts,Biona Organic Golden Linseed Bread 500G,825,0.27
desserts,Community Foods Soya Flour 500G,,0.26
desserts,Muchy Seeds Wholefoods Omega Sprinkle 125G,2544,1.88
desserts,Munchy Seeds Wholefoods Chilli Mix 125G,2511,1.88
desserts,Tesco Wholefood Chewy Banana 300G,1235,1
desserts,Tesco Wholefood Cranberries 300G,1380,1.25
desserts,Tesco Wholefood Cranberry And Macadamia Mix 300G,2080,1.33
desserts,Tesco Wholefood Dried Apple Slices 250G,1125,0.64
desserts,Tesco Wholefood Fruit And Nut Mix Cranberry 300G,1680,1.1
desserts,Tesco Wholefood Fruit And Nut Sprinkle300g,1590,0.66
desserts,Tesco Wholefood Hazelnuts 300G,2720,1.13
desserts,Tesco Wholefood Luxury Fruit And Nut Mix 300G,1905,1.17
desserts,Tesco Wholefood Millet 500G,1580,0.2
desserts,Tesco Wholefood Natural Apricots 500G,835,1
desserts,Tesco Wholefood Pistachio Nuts In Shell 300G,2440,0.99
desserts,Tesco Wholefood Raisin And Sultana Mix 500G,1330,0.6
desserts,Tesco Wholefood Raisin Sultana And Berry Mix 300G,1360,0.73
desserts,Tesco Wholefood Ready To Eat Dried Apricots 1Kg,715,0.5
desserts,Tesco Wholefood Sesame Seeds 300G,2575,0.6
desserts,Urban Fresh Dried Mango Slices 100G,,1.97
desserts,Urban Fresh Dried Strawberries 90G,,2.19
desserts,Whitworths Fruit And Nut Seed Mix 300G,1967,0.91
desserts,Whitworths Seaweed Peanuts 200G,2102,0.85
desserts,Whitworths Wholefood Banana Chips 500G,2137,0.49
desserts,Opies Chinese Stem Ginger 350G,1110,0.53
desserts,Tesco French Glace Cherries 100G,1300,0.8
desserts,Tesco Glace Cherries Natural Coloured 200G,1380,0.5
desserts,Tesco Italian Mixed Peel 200G,1310,0.29
desserts,Whitworths French Glace Cherries 200G,1378,1
desserts,Duerr's Ginger Preserve 454G,1124,0.28
desserts,Duerrs Apricot Preserve 340G,1061,0.35
desserts,Duerrs Blackcurrant Preserve 340G,1061,0.35
desserts,Duerrs Raspberry Preserve 340G,1061,0.35
desserts,Duerrs Raspberry Seedless Preserve 340G,1061,0.35
desserts,Duerrs Strawberry Preserve 340G,1061,0.35
desserts,Hartleys Best Apricot Jam 340G,1037,0.4
desserts,Hartleys Best Black Cherry Jam 340G,1037,0.4
desserts,Hartleys Best Blackcurrant Jam 340G,1037,0.4
desserts,Hartleys Best Pineapple Jam 340G,1039,0.44
desserts,Hartleys Best Raspberry Jam 340G,1039,0.4
desserts,Hartleys Best Raspberry Jam Seedless 340G,1039,0.4
desserts,Hartleys Family Strawberry Jam 454G,1088,0.33
desserts,Oaklane Strawberry Conserve 454G,1095,0.2
desserts,Saint Dalfour Black Cherry 284G,,0.59
desserts,Saint Dalfour Blackcurrant Fruit Spread 284G,,0.58
desserts,Saint Dalfour Raspberry Fruit Spread 284G,,0.58
desserts,Saint Dalfour Strawberry Fruit Spread 284G,,0.58
desserts,Saint Dalfour Thick Apricot Fruit Spread 284G,,0.59
desserts,Saint Dalfour Thick Cut Orange Spread 284G,,0.59
desserts,Streamline Reduced Sugar Apricot Jam 400G,730,0.42
desserts,Streamline Reduced Sugar Black Cherry Jam 454G,752,0.37
desserts,Streamline Reduced Sugar Blackcurrant Jam 454G,768,0.37
desserts,Streamline Reduced Sugar Raspberry Seedless Jam 454G,768,0.37
desserts,Streamline Reduced Sugar Strawberry Jam 454G,784,0.37
desserts,Tesco Apricot Jam 454G,1090,0.19
desserts,Tesco Blackcurrant Jam 454G,910,0.19
desserts,Tesco Bramble Jelly 454G,1135,0.19
desserts,Tesco Damson Jam 454G,1075,0.22
desserts,Tesco Finest Apricot Conserve 340G,1040,0.42
desserts,Tesco Finest Ginger Preserve 340G,1110,0.38
desserts,Tesco Finest Raspberry Conserve 340G,1050,0.42
desserts,Tesco Finest Scandinavian Blackcurrant 340G,1040,0.42
desserts,Tesco Finest Strawberry Conserve 340G,1070,0.42
desserts,Tesco Finest* Greengage Conserve 340G,1060,0.42
desserts,Tesco Reduced Sugar Apricot Jam 340G,735,0.33
desserts,Tesco Reduced Sugar Strawberry Jam 340G,740,0.33
desserts,Tesco Seedless Raspberry Jam 454G,1075,0.19
desserts,Tesco Strawberry Jam 454G,1100,0.19
desserts,Tesco Value Strawberry Jam 454G,1050,0.08
desserts,Tiptree Raspberry Seedless Conserve 340G,1139,0.59
desserts,Weight Watchers Reduced Sugar Apricot Jam 250G,691,0.64
desserts,Weight Watchers Reduced Sugar Blackcurrant Jam 250G,688,0.64
desserts,Weight Watchers Reduced Sugar Raspberry Jam 250G,695,0.64
desserts,Weight Watchers Reduced Sugar Strawberry Jam 250G,700,0.64
desserts,Wilkin And Sons Blackcurrant Conserve 340G,1139,0.59
desserts,Wilkin And Sons Strawberry Conserve 340G,1139,0.59
desserts,Wilkins Black Cherry Conserve 340G,1139,0.59
desserts,Wilkins Tiny Tip Raspberry Conserve 340G,1139,0.59
desserts,Duerrs Fine Cut Grapefruit Marmalade 454G,1108,0.26
desserts,Duerrs Fine Cut Manchester Marmalade 454G,1059,0.26
desserts,Duerrs Fine Cut Seville Orange Marmalade 454G,1108,0.26
desserts,Duerrs Thick Cut Seville Orange Marmalade 454G,1108,0.26
desserts,Frank Cooper Oxford Orange Marmalade And Ginger 454G,1158,0.36
desserts,Frank Coopers Fine Cut Oxford Marmalade 454G,1147,0.36
desserts,Frank Coopers Vintage Oxford Marmalade 454G,1147,0.36
desserts,Hartleys Breakfast Marmalade 454G,1088,0.3
desserts,Hartleys Old English Marmalade 454G,1095,0.22
desserts,Mackays Natural Fruit Seville Orange Marmalade 340G,1085,0.35
desserts,Mackays The Dundee Orange Marmalade 340G,1085,0.35
desserts,Mackays Three Fruit Marmalade 340G,1079,0.35
desserts,Mermelada De Sevilla Fine Cut 454G,1165,0.37
desserts,Oaklane Fine Cut Lemon And Lime Marmalade 454G,1145,0.13
desserts,Oaklane Thick Cut Marmalade 454G,1145,0.12
desserts,Robertsons Golden Marmalade Shreddless 227G,1066,0.4
desserts,Robertsons Golden Shred Marmalade 227G,1071,0.36
desserts,Robertsons Golden Shred Marmalade 454G,1071,0.26
desserts,Robertsons Golden Shredless Marmalade 454G,1071,0.26
desserts,Robertsons Silver Shred Marmalade 454G,1071,0.26
desserts,Roses Lemon And Lime Marmalade 454G,,0.22
desserts,Roses Lime Marmalade 454G,,0.22
desserts,Roses Orange Fine Cut Marmalade 454G,,0.33
desserts,Streamline Reduced Sugar Thick Cut Orange Marmalde 454G,750,0.37
desserts,Streamline Reduced Sugar Thin Cut Orange Marmalade 400G,745,0.42
desserts,Tesco Fine Cut Orange Marmalade 454G,1100,0.13
desserts,Tesco Finest Bitter Orange Marmalade 340G,1090,0.38
desserts,Tesco Finest Fresh Fruit Dark Orange Marmalade 340G,1090,0.38
desserts,Tesco Finest Three Fruit Marmalade 340G,1110,0.38
desserts,Tesco Shredless Lemon Marmalade 454G,1165,0.17
desserts,Tesco Shredless Orange Marmalade 454G,1170,0.13
desserts,Tesco Thick Cut Orange Marmalade 454G,1095,0.13
desserts,Tesco Value Orange Marmalade 454G,1080,0.06
desserts,Weight Watchers Reduced Sugar Orange Marmalade 250G,717,0.64
desserts,Wilkin And Sons Double One Fine Cut Marmalade 454G,1139,0.42
desserts,Wilkin And Sons Old Times Orange Marmalade 454G,1139,0.42
desserts,Oaklane Squeezy Clear Honey 340G,1390,0.48
desserts,Rowse Manuka Active 10+ Honey 340G,1362,2.94
desserts,Rowse Manuka Active 15+ Honey 340G,1362,3.38
desserts,Rowse Manuka Active Honey +5 340G,1362,2.21
desserts,Rowse Supahoney Original 250G,1440,1.6
desserts,Tesco Finest New Zealand Clover Honey 340G,1445,1.03
desserts,Tesco Organic Pure Set Honey 340G,1390,0.75
desserts,Tesco Organic Squeezy Clear Honey 340G,1390,0.75
